file,target_points,algorithm,max_n,points,run_id,total_ms,build_ms,search_ms,merge_ms,final_ms,clusters
seq00_static_200k.ply,200000,FECunion,0,200000,5,59.090227,17.411776,35.432212,1.946284,0.977058,112
seq00_static_200k.ply,200000,FECunion,0,200000,6,59.214651,17.459141,35.354570,1.945739,0.964901,112
seq00_static_200k.ply,200000,FECunion,0,200000,7,60.166361,17.338357,36.295255,1.966419,0.946224,112
seq00_static_200k.ply,200000,FEC,50,200000,1,185.299572,17.730115,37.327948,120.009830,8.321276,112
seq00_static_200k.ply,200000,FEC,50,200000,2,183.756161,17.499283,37.427404,120.689399,6.260186,112
seq00_static_200k.ply,200000,FEC,50,200000,3,182.937618,17.501503,37.570484,119.619310,6.386554,112
seq00_static_200k.ply,200000,FEC,50,200000,4,185.454895,17.254095,38.348325,121.629594,6.356947,112
seq00_static_200k.ply,200000,FEC,50,200000,5,198.876056,19.751234,44.758935,125.939362,6.397055,112
seq00_static_200k.ply,200000,FEC,50,200000,6,191.917054,17.383258,40.150925,126.033368,6.460089,112
seq00_static_200k.ply,200000,FEC,50,200000,7,189.611771,18.370050,40.483675,122.525862,6.348931,112
seq00_static_200k.ply,200000,FEC1,50,200000,1,67.523033,17.574772,36.677951,3.539670,5.933981,112
seq00_static_200k.ply,200000,FEC1,50,200000,2,68.026729,18.381704,37.012461,3.532634,5.899572,112
seq00_static_200k.ply,200000,FEC1,50,200000,3,68.961436,18.010395,37.757300,3.585461,6.315915,112
seq00_static_200k.ply,200000,FEC1,50,200000,4,67.318958,18.554775,36.056347,3.632999,6.010869,112
seq00_static_200k.ply,200000,FEC1,50,200000,5,68.559155,17.558229,38.060901,3.696072,5.977590,112
seq00_static_200k.ply,200000,FEC1,50,200000,6,66.768079,17.438874,36.646369,3.554354,5.982799,112
seq00_static_200k.ply,200000,FEC1,50,200000,7,66.976051,17.562146,36.668641,3.488266,6.103477,112
seq00_static_200k.ply,200000,FECunion,50,200000,1,60.427461,17.585914,36.191996,1.983893,0.966875,112
seq00_static_200k.ply,200000,FECunion,50,200000,2,60.618911,17.853120,36.118270,1.994648,0.977634,112
seq00_static_200k.ply,200000,FECunion,50,200000,3,58.586788,17.703625,34.470653,1.975679,0.974667,112
seq00_static_200k.ply,200000,FECunion,50,200000,4,58.892032,17.731973,34.682525,1.908264,1.039579,112
seq00_static_200k.ply,200000,FECunion,50,200000,5,59.421928,17.880303,35.147717,2.002874,0.980174,112
seq00_static_200k.ply,200000,FECunion,50,200000,6,57.490869,17.456443,33.831608,1.959783,0.966993,112
seq00_static_200k.ply,200000,FECunion,50,200000,7,59.945582,18.357445,35.118799,1.993830,0.975008,112
seq00_static_250k.ply,250000,FEC,0,250000,1,274.755523,24.160352,52.057680,185.606167,9.871808,133
seq00_static_250k.ply,250000,FEC,0,250000,2,277.478244,23.029392,51.480406,191.826084,8.591545,133
seq00_static_250k.ply,250000,FEC,0,250000,3,268.393196,23.130730,50.621830,183.851479,8.300293,133
seq00_static_250k.ply,250000,FEC,0,250000,4,282.822742,23.092085,57.640692,190.526632,9.053349,133
seq00_static_250k.ply,250000,FEC,0,250000,5,278.535230,23.847819,54.306041,189.393106,8.455988,133
seq00_static_250k.ply,250000,FEC,0,250000,6,287.107415,26.399635,61.923295,188.095730,8.059289,133
seq00_static_250k.ply,250000,FEC,0,250000,7,274.244401,24.253505,51.369864,188.312825,7.783297,133
seq00_static_250k.ply,250000,FEC1,0,250000,1,84.504103,23.066185,45.845092,4.118439,7.491083,133
seq00_static_250k.ply,250000,FEC1,0,250000,2,81.777199,23.125006,44.007049,4.015761,6.897377,133
seq00_static_250k.ply,250000,FEC1,0,250000,3,80.194596,21.163404,44.303832,4.034791,6.917936,133
seq00_static_250k.ply,250000,FEC1,0,250000,4,81.065037,22.587305,43.934052,4.059378,6.938294,133
seq00_static_250k.ply,250000,FEC1,0,250000,5,79.711731,21.206326,43.839857,4.032534,7.001705,133
seq00_static_250k.ply,250000,FEC1,0,250000,6,81.188482,21.095285,44.585767,4.022512,7.785232,133
seq00_static_250k.ply,250000,FEC1,0,250000,7,80.022028,21.194633,44.175471,3.997439,6.876196,133
seq00_static_250k.ply,250000,FECunion,0,250000,1,73.948947,21.929017,43.887558,2.245999,1.211188,133
seq00_static_250k.ply,250000,FECunion,0,250000,2,78.176838,23.956083,45.818813,2.304410,1.156525,133
seq00_static_250k.ply,250000,FECunion,0,250000,3,77.317016,21.884021,46.712400,2.378846,1.204776,133
seq00_static_250k.ply,250000,FECunion,0,250000,4,73.730923,22.050858,43.717730,2.279013,1.151214,133
seq00_static_250k.ply,250000,FECunion,0,250000,5,78.341811,22.835095,47.054581,2.393468,1.168968,133
seq00_static_250k.ply,250000,FECunion,0,250000,6,77.415132,21.922604,46.773690,2.379840,1.185088,133
seq00_static_250k.ply,250000,FECunion,0,250000,7,76.028962,22.376486,45.262174,2.352779,1.156644,133
seq00_static_250k.ply,250000,FEC,50,250000,1,263.708374,22.611902,51.137932,179.315686,8.404336,133
seq00_static_250k.ply,250000,FEC,50,250000,2,269.287249,21.693660,57.031069,180.954975,7.361958,133
seq00_static_250k.ply,250000,FEC,50,250000,3,265.145882,25.300794,50.768348,179.054073,7.733233,133
seq00_static_250k.ply,250000,FEC,50,250000,4,252.825635,21.681517,46.766523,174.739812,7.429566,133
seq00_static_250k.ply,250000,FEC,50,250000,5,257.456672,20.953146,46.687938,180.359800,7.249003,133
seq00_static_250k.ply,250000,FEC,50,250000,6,253.279556,21.607046,45.953678,176.278413,7.201072,133
seq00_static_250k.ply,250000,FEC,50,250000,7,253.470459,21.303591,46.288279,176.176695,7.453201,133
seq00_static_250k.ply,250000,FEC1,50,250000,1,79.991070,23.011651,42.269852,3.858372,7.281436,133
seq00_static_250k.ply,250000,FEC1,50,250000,2,86.468103,21.685204,48.135053,4.699267,7.591446,133
seq00_static_250k.ply,250000,FEC1,50,250000,3,87.250292,23.806415,47.405265,4.415821,7.747247,133
seq00_static_250k.ply,250000,FEC1,50,250000,4,87.909781,25.122982,47.037610,4.290824,7.620606,133
seq00_static_250k.ply,250000,FEC1,50,250000,5,85.840156,23.184723,46.802268,4.310661,7.599070,133
seq00_static_250k.ply,250000,FEC1,50,250000,6,85.943908,24.028939,45.884419,4.169556,8.062188,133
seq00_static_250k.ply,250000,FEC1,50,250000,7,86.810055,23.187772,46.515387,4.304786,8.866229,133
seq00_static_250k.ply,250000,FECunion,50,250000,1,76.035675,23.278909,44.456741,2.445528,1.264036,133
seq00_static_250k.ply,250000,FECunion,50,250000,2,80.226142,26.074393,45.517715,2.427325,1.303389,133
seq00_static_250k.ply,250000,FECunion,50,250000,3,76.636896,23.407055,44.777188,2.611651,1.334329,133
seq00_static_250k.ply,250000,FECunion,50,250000,4,76.237568,23.258620,44.908043,2.449928,1.211324,133
seq00_static_250k.ply,250000,FECunion,50,250000,5,75.363115,23.375474,43.872752,2.490788,1.224321,133
seq00_static_250k.ply,250000,FECunion,50,250000,6,83.727013,26.271818,48.209450,2.451586,1.259803,133
seq00_static_250k.ply,250000,FECunion,50,250000,7,83.605679,26.413854,47.831435,2.581970,1.540444,133
seq00_static_300k.ply,300000,FEC,0,300000,1,418.884706,32.729068,90.805936,280.529173,11.041363,145
seq00_static_300k.ply,300000,FEC,0,300000,2,411.076398,31.779054,89.790520,276.251631,10.334014,145
seq00_static_300k.ply,300000,FEC,0,300000,3,398.730910,32.433063,81.165389,271.983960,10.284767,145
seq00_static_300k.ply,300000,FEC,0,300000,4,376.547445,28.934602,70.146895,264.067898,10.510908,145
seq00_static_300k.ply,300000,FEC,0,300000,5,379.160612,30.847141,68.746590,266.494874,10.219975,145
seq00_static_300k.ply,300000,FEC,0,300000,6,383.544339,28.484096,70.511129,271.605391,10.087203,145
seq00_static_300k.ply,300000,FEC,0,300000,7,376.674008,29.618602,68.858362,265.267196,10.116608,145
seq00_static_300k.ply,300000,FEC1,0,300000,1,105.684088,28.770208,57.623786,5.096421,9.542936,145
seq00_static_300k.ply,300000,FEC1,0,300000,2,106.270169,29.586638,57.497002,5.055003,9.430315,145
seq00_static_300k.ply,300000,FEC1,0,300000,3,108.636565,28.558836,59.142717,5.248960,10.751285,145
seq00_static_300k.ply,300000,FEC1,0,300000,4,106.866720,28.715843,58.533186,5.191731,9.599615,145
seq00_static_300k.ply,300000,FEC1,0,300000,5,103.988386,28.060842,56.813871,5.163274,9.491846,145
seq00_static_300k.ply,300000,FEC1,0,300000,6,107.569069,28.104044,59.296679,5.408167,9.540303,145
seq00_static_300k.ply,300000,FEC1,0,300000,7,106.041109,28.030947,58.618634,5.172265,9.412180,145
seq00_static_300k.ply,300000,FECunion,0,300000,1,94.454330,29.182096,55.389000,2.998848,1.551959,145
seq00_static_300k.ply,300000,FECunion,0,300000,2,95.686701,28.963730,56.615641,2.960874,1.483201,145
seq00_static_300k.ply,300000,FECunion,0,300000,3,94.210877,28.065161,56.261047,3.001157,1.459809,145
seq00_static_300k.ply,300000,FECunion,0,300000,4,91.836186,27.660011,54.557473,2.928091,1.467080,145
seq00_static_300k.ply,300000,FECunion,0,300000,5,95.161882,30.399519,54.974514,2.913534,1.492797,145
seq00_static_300k.ply,300000,FECunion,0,300000,6,95.980967,28.028665,57.793164,3.077745,1.448092,145
seq00_static_300k.ply,300000,FECunion,0,300000,7,94.081816,28.188145,56.007435,2.964239,1.498683,145
seq00_static_300k.ply,300000,FEC,50,300000,1,372.754096,28.042622,63.923659,266.333653,11.576300,145
seq00_static_300k.ply,300000,FEC,50,300000,2,366.198036,27.864099,66.678335,259.504361,9.414822,145
seq00_static_300k.ply,300000,FEC,50,300000,3,341.455318,26.085638,57.393338,246.399357,8.935582,145
seq00_static_300k.ply,300000,FEC,50,300000,4,364.569539,29.381381,72.750858,250.025757,9.578642,145
seq00_static_300k.ply,300000,FEC,50,300000,5,353.477246,26.910774,64.079275,249.928731,9.827475,145
seq00_static_300k.ply,300000,FEC,50,300000,6,354.966000,27.192057,61.784462,254.118890,9.130702,145
seq00_static_300k.ply,300000,FEC,50,300000,7,349.311392,26.766199,59.667259,249.668228,10.543272,145
seq00_static_300k.ply,300000,FEC1,50,300000,1,95.430104,25.611238,52.181486,4.647936,8.662765,145
seq00_static_300k.ply,300000,FEC1,50,300000,2,101.512805,26.686157,56.179977,4.995037,8.692381,145
seq00_static_300k.ply,300000,FEC1,50,300000,3,99.685457,26.048618,54.983481,5.007505,8.787661,145
seq00_static_300k.ply,300000,FEC1,50,300000,4,99.910655,27.067561,54.383124,4.896085,9.011016,145
seq00_static_300k.ply,300000,FEC1,50,300000,5,98.385350,25.849690,54.202825,4.944075,8.699654,145
seq00_static_300k.ply,300000,FEC1,50,300000,6,114.431247,30.919503,62.297284,5.891390,9.267450,145
seq00_static_300k.ply,300000,FEC1,50,300000,7,104.492096,28.137658,57.028128,5.151472,9.522708,145
seq00_static_300k.ply,300000,FECunion,50,300000,1,97.056216,30.445341,56.264548,3.023749,1.453216,145
seq00_static_300k.ply,300000,FECunion,50,300000,2,96.380382,28.098465,57.812184,3.003511,1.525587,145
seq00_static_300k.ply,300000,FECunion,50,300000,3,92.804419,28.276425,54.620142,2.924472,1.471629,145
seq00_static_300k.ply,300000,FECunion,50,300000,4,93.553158,28.580712,54.922085,3.028538,1.464642,145
seq00_static_300k.ply,300000,FECunion,50,300000,5,97.916550,31.096650,56.640238,3.174788,1.454048,145
seq00_static_300k.ply,300000,FECunion,50,300000,6,93.899796,27.884000,55.374868,3.000587,1.957620,145
seq00_static_300k.ply,300000,FECunion,50,300000,7,91.441110,28.264242,53.512931,2.923613,1.445898,145
seq00_static_350k.ply,350000,FEC,0,350000,1,473.929954,33.226437,75.214980,350.296246,11.753817,156
seq00_static_350k.ply,350000,FEC,0,350000,2,465.879684,35.146764,73.716035,342.079896,11.640995,156
seq00_static_350k.ply,350000,FEC,0,350000,3,467.497535,35.209682,75.806226,340.310522,12.799685,156
seq00_static_350k.ply,350000,FEC,0,350000,4,486.685889,34.901320,86.325359,350.004892,11.994493,156
seq00_static_350k.ply,350000,FEC,0,350000,5,478.658086,36.314254,79.083290,348.232052,11.675772,156
