file,target_points,algorithm,max_n,points,kept_runs,clusters_median,total_mean_ms,total_std_ms,total_min_ms,total_max_ms,build_mean_ms,build_std_ms,build_min_ms,build_max_ms,search_mean_ms,search_std_ms,search_min_ms,search_max_ms,merge_mean_ms,merge_std_ms,merge_min_ms,merge_max_ms,final_mean_ms,final_std_ms,final_min_ms,final_max_ms
seq00_static_650k.ply,650000,FEC1,50,650000,5,225,210.599344,1.185114,208.512340,211.413337,63.613116,1.493730,61.840428,65.918138,110.265981,0.850134,108.968575,110.986595,9.682391,0.129663,9.501370,9.862221,17.270353,0.208166,17.004782,17.563983
seq00_static_650k.ply,650000,FECunion,50,650000,5,225,188.320349,7.562735,184.221228,201.747340,62.449241,2.488444,60.668896,66.801603,106.199104,4.472347,103.074806,114.064799,5.751795,0.203635,5.562207,6.086572,2.790853,0.117755,2.699904,2.992211
seq00_static_700k.ply,700000,FEC,0,700000,5,229,1601.437009,55.929401,1526.252825,1665.020281,79.188590,3.736849,74.292873,82.613805,177.598531,7.695264,170.762104,190.291815,1312.510855,49.697614,1250.337391,1375.509282,25.153282,1.029895,23.652970,26.293145
seq00_static_700k.ply,700000,FEC1,0,700000,5,229,274.298702,2.378159,271.036532,276.699874,81.569665,0.972659,80.601052,82.907273,144.766267,1.859618,142.531375,147.062525,12.076653,0.291439,11.703581,12.391352,23.338269,1.392061,22.459212,25.799225
seq00_static_700k.ply,700000,FECunion,0,700000,5,229,252.791035,2.607191,248.846585,255.256057,82.981203,1.885630,81.001323,85.777475,142.278988,2.303119,140.417235,145.526865,7.253197,0.090626,7.171530,7.392403,3.836443,0.445293,3.501163,4.359394
seq00_static_700k.ply,700000,FEC,50,700000,5,229,1661.066825,16.033422,1640.489988,1676.553927,80.008703,1.162658,78.646803,81.845400,181.033576,7.041352,175.914032,193.414236,1370.151151,14.505759,1352.922937,1389.806230,22.977071,1.039293,21.396001,24.059959
seq00_static_700k.ply,700000,FEC1,50,700000,5,229,251.265567,4.418049,243.871081,254.895592,74.960912,1.608144,73.171448,77.328196,132.941763,2.877331,128.373874,136.287263,11.514641,0.354720,10.991572,11.894791,20.156264,0.516429,19.510281,20.809348
seq00_static_700k.ply,700000,FECunion,50,700000,5,229,225.790308,1.232307,224.504021,227.777744,74.834692,0.974473,73.483350,76.017438,127.771786,1.476025,126.812807,130.366199,6.721570,0.091049,6.626617,6.858530,3.277786,0.069251,3.210232,3.380765
seq00_static_750k.ply,750000,FEC,0,750000,5,235,1882.677725,42.658326,1809.082961,1916.066501,86.188117,2.122243,83.898042,89.446645,199.113220,4.465858,191.447830,202.830073,1563.369189,38.174149,1496.811195,1588.394351,26.860186,0.750341,25.966018,27.946090
seq00_static_750k.ply,750000,FEC1,0,750000,5,235,298.458654,5.266799,294.346333,307.329042,89.600988,2.447248,87.603377,93.798951,158.064157,1.976712,156.494012,161.414780,13.069654,0.235679,12.807689,13.433108,23.981071,0.445444,23.534402,24.597804
seq00_static_750k.ply,750000,FECunion,0,750000,5,235,266.036508,3.354592,260.338388,268.237032,87.548938,0.525567,86.916746,88.168944,150.174765,2.382174,146.142374,151.977152,7.824994,0.199313,7.534022,8.094871,3.824603,0.223070,3.553990,4.150130
seq00_static_750k.ply,750000,FEC,50,750000,5,235,1740.788049,7.185350,1730.701913,1747.617679,86.674833,3.360336,83.143115,92.050796,191.756755,4.386465,187.799827,198.242366,1430.810132,8.506427,1418.134299,1441.119868,24.463048,1.331083,23.211466,26.729457
seq00_static_750k.ply,750000,FEC1,50,750000,5,235,282.432122,2.211522,278.660212,284.234945,83.583504,0.616286,82.963268,84.561343,150.360101,1.918976,147.340910,152.436917,12.650071,0.239542,12.272246,12.860523,22.595110,0.492860,21.934271,23.075734
seq00_static_750k.ply,750000,FECunion,50,750000,5,235,251.886740,3.289351,248.975331,257.208572,82.764197,0.730861,81.624063,83.590496,143.038823,2.276851,140.871421,146.785389,7.480697,0.078485,7.368842,7.579294,3.608951,0.159168,3.475472,3.885513
seq00_static_800k.ply,800000,FEC,0,800000,5,239,2014.479852,28.305401,1989.048351,2054.907227,93.969712,1.705343,90.996331,95.322491,213.107313,3.514829,209.288133,217.883523,1668.009555,24.850540,1644.230565,1701.203723,30.999889,0.911681,30.018421,32.245669
seq00_static_800k.ply,800000,FEC1,0,800000,5,239,322.671949,3.653177,317.865364,326.878916,96.768593,1.034295,95.625362,97.952565,169.410682,2.918903,164.877436,172.399401,13.871641,0.224463,13.581513,14.133561,27.763090,1.048539,27.051380,29.600501
seq00_static_800k.ply,800000,FECunion,0,800000,5,239,286.527007,2.660840,283.456461,289.486098,94.077245,2.483745,89.747664,95.902176,161.926224,1.694464,159.439698,164.013282,8.184007,0.167761,7.934561,8.362510,3.930742,0.092585,3.769579,3.990767
